Well,0 min ,12 min 17 s,25 min 19 s,38 min 57 s,52 min 1 s,67 min 32 s,81 min 10 s,94 min 22 s,111 min 16 s,125 min 40 s
A1,187982,195258,189658,181159,200871,199343,193215,193308,195150,202890
B1,180700,189585,190614,193762,209376,205610,199869,201871,202963,206779
C1,198885,206870,195508,172038,175538,187468,192737,200350,208375,214471
D1,192632,203712,185351,158424,151332,145957,143170,144165,144751,146549
E1,196097,205276,208617,210401,209933,204651,199436,198731,200094,205419
F1,172218,180333,181798,178278,184879,180867,176468,174846,177090,180062
G1,125744,130233,120780,104347,98888,97360,95578,95102,97944,99178
H1,122394,122480,116185,99004,94605,94443,91413,91084,93186,94932
A2,192122,201120,188846,171541,184677,198524,199085,200004,202696,207961
B2,191884,197922,187589,171949,189253,205572,206202,209217,208722,214247
C2,188436,200496,186151,158059,153342,152842,154341,157560,162733,171931
D2,197086,207201,192314,162195,155176,151304,150590,147928,147286,151221
E2,173124,182697,180101,176364,190060,184212,182865,180897,181459,185372
F2,179883,190959,180557,167872,185333,186585,182848,183894,183705,187979
G2,128216,134918,126886,107798,102474,100260,98090,98283,99453,101049
H2,127384,133238,125748,106184,101450,99702,97078,96808,99039,100709
A3,176884,185689,172842,153785,156957,167724,174320,181997,185802,192910
B3,172710,201118,192790,165850,160068,156296,156164,157002,157280,162885
C3,180259,187720,174759,147249,138748,136320,134416,134652,134462,138586
D3,175101,186810,172699,147400,140815,138035,134941,134381,134754,138532
E3,164746,176203,164777,153889,170730,177258,173801,175433,175116,178497
F3,163499,171078,161285,138257,136458,143872,148471,157567,164679,171807
G3,126345,133016,125274,108597,102262,100078,97194,98020,98341,101004
H3,121279,121346,113844,98735,94173,93103,89900,89632,92868,93211
A4,191333,198376,183104,154797,150717,146641,144058,143949,145133,147713
B4,190223,197957,181528,154675,148294,144126,143236,144344,146650,149643
C4,175316,186628,173530,145791,139536,136366,134512,133517,133847,137238
D4,200859,210354,192211,162862,155021,150368,148074,149071,148536,150194
E4,172591,181236,167512,143083,136259,132742,129518,130814,130442,133745
F4,169132,182027,172407,144920,139361,136152,132371,131694,131332,135400
G4,120384,125832,118564,101710,95953,95124,92002,91877,93017,95707
H4,127005,133676,124150,105595,101555,100082,97119,97926,100091,101236
A5,179439,187513,172631,147574,141651,138848,134619,134928,134178,140110
B5,175106,182098,170086,143785,137788,134284,132216,130406,132081,135050
C5,194124,203564,190853,159617,151763,148459,145960,146757,146924,151027
D5,180374,191530,173273,149256,140702,137946,134658,135117,134856,138681
E5,207878,217604,202639,181663,198621,210639,208665,208658,209874,215798
F5,175830,203288,191093,157607,147622,139081,135066,135253,134316,138861
G5,134830,142350,132653,113530,108885,107214,103680,103396,105588,107338
H5,129624,136119,126757,108542,103134,102127,98380,98441,100886,101460
A6,171811,179941,166404,142197,134505,133679,130554,129461,130629,133217
