Well,0 min ,16 min 34 s,29 min 42 s,43 min 48 s,57 min 19 s,81 min 35 s,97 min 47 s,109 min 18 s
A1,188440,189920,182870,184788,185413,188123,187146,185798
B1,191717,190794,183380,185879,185204,188669,188274,185764
C1,205170,203736,183283,183962,195988,198904,199290,197148
D1,199472,203158,198994,195439,193006,195714,194844,191590
E1,207707,203612,178778,176011,192342,200217,197232,194725
F1,183150,181681,160599,154110,152546,155068,153141,150693
G1,178502,179267,158396,150167,149950,152264,151913,147368
H1,187023,189659,164372,155339,154510,153623,153445,148514
A2,122598,127162,115058,111730,113038,116343,115822,114417
B2,121266,123082,111907,109027,109421,113899,112962,111419
C2,119015,122008,108800,106642,107745,111516,112264,109546
D2,125407,128365,115177,112311,113434,117838,118692,115206
E2,114471,118448,107687,105130,105110,109154,110390,108635
F2,122340,126083,113000,110768,111715,116410,116215,114264
G2,128681,133956,119786,116197,118313,120845,119732,117291
H2,186078,193204,168811,162214,162431,162649,160020,157397
A3,180167,184542,188457,183210,182386,186783,185228,182753
B3,168280,169290,167371,174771,175878,179004,178948,176410
C3,183546,186602,167440,160083,158661,160414,161097,158472
D3,182488,201861,193118,189867,189441,192844,191456,190038
E3,164418,174598,174689,175457,175754,179746,179879,175766
F3,163780,172377,152296,145224,146841,147452,148535,144248
G3,187046,193508,172454,167137,167170,166500,165112,163120
H3,182538,185815,163881,155749,155795,157684,157482,153949
A4,116244,119173,105738,104410,105970,108688,109662,106731
B4,118609,120700,109116,107108,107154,110940,110448,110255
C4,151545,150004,128256,131086,130050,158439,156322,128901
D4,129576,134226,121348,117502,119205,122481,123172,120217
E4,113697,117928,106833,104171,105632,109143,109635,106001
F4,115463,119876,108517,105332,106117,109734,110002,108779
G4,120501,126236,114780,110953,110736,110932,110904,109118
H4,186434,192328,167972,159460,158679,160585,159212,157141
A5,182241,191019,189305,182316,180107,182674,184606,181407
B5,176956,175185,157089,159471,176373,181844,183067,181742
C5,193803,194788,175434,169353,167171,167555,169198,167146
D5,176743,178317,158942,152271,153018,151189,151387,148482
E5,206253,212606,208322,208146,207646,208534,209051,206857
F5,173696,181840,169738,180532,182102,185666,184443,182010
G5,208116,209885,185024,177286,175487,176392,173806,170942
H5,191826,200868,174607,167224,165882,164430,162982,159258
A6,103865,106767,96553,93925,95908,98000,98329,97258
B6,108942,113350,101564,100672,100120,103214,104204,102779
C6,103517,106650,97849,95108,96958,99428,100373,98572
D6,119177,122740,111385,109865,110252,113463,113100,111574
E6,125171,128147,115763,113633,116446,118966,120148,117231
F6,130981,134781,122362,118322,119500,123668,123701,121961
G6,115510,123235,109444,107738,106814,108108,108802,107417
H6,190890,192990,169812,161886,162150,163082,161446,160160
A7,189909,196386,193122,185902,184349,185188,184018,182588
B7,185232,189732,186599,191608,188405,190234,187216,184457
C7,209771,210403,186481,178441,175526,176154,175406,173553
D7,193778,204042,196062,199672,198856,202336,201257,199558
E7,186574,191198,189824,193335,192555,194452,195046,190190
F7,202366,208321,185791,179107,177721,180088,178421,175898
G7,188018,188576,166304,159052,160482,161120,161410,159052
H7,199107,195878,171906,166672,164779,167574,166496,163648
A8,104498,107982,96116,94845,96144,98887,100024,96348
B8,111082,113987,101920,99679,101476,104252,104499,103686
C8,114818,119450,107176,104725,105554,107222,108842,107330
D8,130442,136013,121454,119495,120692,124627,123710,120636
E8,113935,117748,106913,105341,105742,109938,109797,107073
F8,135373,139340,127122,123104,123570,127472,127739,127522
G8,130806,136639,120482,117592,116352,117140,116218,113435
H8,189943,190376,164173,155919,156062,157575,158016,153132
A9,183395,183694,184018,182969,179403,181732,181820,180194
B9,187756,186877,182936,188485,186802,189905,189108,187404
C9,200856,202267,181006,173654,170824,168983,169626,168589
D9,182503,196845,192525,189774,185036,188656,187686,184749
E9,192124,191008,182098,188759,187057,190896,188429,187740
F9,194704,198925,174850,182033,192579,194246,194535,192614
G9,201214,202702,178271,172107,169161,171451,171269,168957
H9,188819,186531,162418,154062,152321,153486,153725,150141
A10,101528,103457,93371,93582,92912,96568,97312,95541
B10,104826,107398,97149,95877,95202,98470,98122,97278
C10,113987,118311,104686,103781,104352,108086,107316,106543
D10,122702,128069,116946,104344,113635,117782,117784,116514
E10,108762,112855,101790,98962,100090,102933,103296,102350
F10,104722,109408,99105,95950,97213,100857,101617,99416
G10,129666,139933,125074,121261,121376,121128,120610,117835
H10,189234,192150,167444,159637,157849,156540,156328,152305
A11,178588,180862,175227,174644,172714,173324,172719,169934
B11,151905,151594,152742,153868,153241,156767,157912,155460
C11,161276,166361,147974,143677,142282,144966,144330,141726
D11,156460,169830,169369,165421,163874,164915,164967,163304
E11,174607,177437,169332,172998,173084,173984,172369,171921
F11,176543,178975,157703,151847,151004,151738,151144,149857
G11,207495,212243,184313,177774,177276,188608,192400,191441
H11,193718,191217,166894,158412,154334,155663,154466,152107
A12,99142,103487,94940,91102,92872,97726,97530,94898
B12,99512,106038,95116,94205,94419,97788,98021,95846
C12,97157,104972,93510,90614,93548,96995,96779,94320
D12,99289,106098,95536,92831,93822,99374,97130,95832
E12,94603,102119,92536,90863,92248,95918,95439,93626
F12,104759,111388,100180,96994,98521,102852,101903,100950
G12,115315,119689,107285,102940,102049,103663,101154,101695
H12,184140,181252,161676,154559,153462,153289,152534,147579
