Well Row,0 min ,15 min 20 s,28 min 13 s,40 min 51 s,53 min 23 s,69 min 25 s,77 min 17 s,90 min 49 s,107 min 19 s,179 min 1 s
A1,186478,189297,189919,210252,204279,198496,197606,196314,194883,183325
B1,172937,177681,176276,148684,180654,184602,181921,181648,180077,172536
C1,130354,132394,129084,87138,76357,74556,74885,75260,75458,72520
D1,192648,199192,199800,191168,206629,208573,207532,206202,208961,205295
E1,128702,130158,126050,85892,75266,73462,73660,73739,73935,71507
F1,118177,120029,116612,79251,69086,68058,68069,68308,68284,65409
G1,116810,120926,116765,80630,69792,68402,69441,69109,69124,65887
H1,109672,115247,110450,75961,66281,64768,64902,64964,65137,61820
A2,200354,200525,195437,142776,144724,169700,181756,194284,202915,195463
B2,180418,185432,183144,135105,153255,181844,184934,185924,184946,176281
C2,123255,123717,122094,83655,72936,71252,71241,71449,71000,67354
D2,195382,198142,197540,141516,146101,170066,180895,192422,200822,196960
E2,119221,121373,119433,80884,70807,68176,69537,68292,69588,65873
F2,127322,129722,128396,87084,74980,73388,74585,72886,74128,70618
G2,124770,126947,123193,84076,72523,70945,71299,70797,71082,67568
H2,119422,126224,122639,83880,72925,71698,72184,71783,72197,69655
A3,182776,185670,181973,135362,145777,171538,182773,195997,198074,186299
B3,179863,183425,177832,121528,104510,102684,103328,101972,100512,96070
C3,121832,124384,122410,82675,72564,71303,71244,70535,70940,67895
D3,189589,191430,191656,130691,112986,110127,110460,108398,108556,103162
E3,116876,118444,116134,79471,69246,67990,67994,67528,66830,64336
F3,113931,117243,113549,77486,67120,65678,65041,65763,65725,62893
G3,124276,125023,121790,82673,72515,70446,71417,71093,70304,67506
H3,112770,115081,112260,76494,66230,65345,65104,64638,65629,62692
A4,199478,202712,199894,136302,116935,113856,113962,113416,112714,107951
B4,203174,205038,204682,139952,119742,117696,117683,116693,116356,110040
C4,117392,119741,115833,80018,68805,68150,68012,67836,67819,64079
D4,207606,209257,210308,143141,122806,120618,120425,119349,118405,111563
E4,117032,121268,116814,79544,68825,67556,68185,66933,66563,64382
F4,119360,120756,117180,80449,69444,68417,68179,68047,68879,65862
G4,118478,117360,115546,78579,68714,66680,67333,66561,66568,63363
H4,121290,123454,118982,81609,70898,70101,70065,69326,68972,66905
