User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 405,,,,,,,
Test name: QUICK FI TOP,Date: 16/07/2016,Time: 14:55:08,,,,,,,
ID1: QUICK FI TOP,,,,,,,,,
Fluorescence (FI),,,,,,,,,
,,,,,,,,,
Well Row,Well Col,Content,Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520)
,,Time,0 min ,15 min 8 s,30 min 3 s,46 min 16 s,59 min 31 s,73 min ,85 min 18 s
A,1,Sample X1,193647,173360,180343,191601,191109,190026,188084
B,1,Sample X13,204673,180222,194329,204583,203219,201347,200753
C,1,Sample X25,208946,165409,191345,209160,207429,207165,205274
D,1,Sample X37,189908,150522,183104,198540,198419,198860,197070
E,1,Sample X49,206446,161141,127428,131533,190192,206410,207278
F,1,Sample X61,196362,152290,122117,116663,116222,115201,115675
G,1,Sample X73,178978,140620,112515,108562,106608,106367,104353
H,1,Sample X85,158920,125024,98008,94978,92510,92428,90670
A,2,Sample X2,130139,105500,84691,83837,83260,84145,82946
B,2,Sample X14,127288,102762,82633,81792,80932,81271,80829
C,2,Sample X26,130420,105102,84212,83498,82777,82986,82772
D,2,Sample X38,126612,102949,82641,80728,80156,81213,80216
E,2,Sample X50,128803,105186,84174,82725,82326,82780,82554
F,2,Sample X62,119070,96462,77272,76546,76016,76121,75274
G,2,Sample X74,122994,99541,80178,78538,78083,78629,77986
H,2,Sample X86,164460,126862,101139,98211,96082,96336,95478
A,3,Sample X3,180851,159682,190246,190931,190895,190064,189432
B,3,Sample X15,170919,146643,183583,187016,188632,187222,187017
C,3,Sample X27,180194,141888,177528,197369,196420,194672,194580
D,3,Sample X39,173076,153981,199869,194930,193115,194248,191874
E,3,Sample X51,179038,142194,199714,198614,197348,196932,195318
F,3,Sample X63,167219,133593,107174,103993,102530,102950,102754
G,3,Sample X75,173030,137175,111174,106690,106082,106483,105326
H,3,Sample X87,158847,127348,100989,96681,95133,94344,93787
A,4,Sample X4,125608,101792,81158,81102,79827,79509,79648
B,4,Sample X16,127100,101670,83348,81752,81098,81136,80544
C,4,Sample X28,120904,96510,77754,77589,76248,77138,75582
D,4,Sample X40,123047,99967,79610,78683,77096,78258,77543
E,4,Sample X52,119512,95485,75162,75691,74229,75140,74487
F,4,Sample X64,119141,95954,76985,75560,75056,75802,75207
G,4,Sample X76,112987,92028,73102,72646,71838,72118,71625
H,4,Sample X88,166938,128729,101866,96930,97417,96498,94873
A,5,Sample X5,193668,190728,202776,200163,201379,200391,199420
B,5,Sample X17,189822,146839,141531,199657,200130,199065,197491
