Well,0 min ,13 min 23 s,27 min 27 s,40 min 12 s,54 min 4 s,96 min 43 s,110 min 48 s,122 min 20 s
A1,178798,172597,165106,165081,162913,163535,166028,165994
B1,179229,176189,164913,166518,165965,166610,168516,169372
C1,189444,182368,170784,172485,170588,170993,173731,174074
D1,192026,183708,163511,160166,158060,157330,159022,158060
E1,126490,126497,112160,110707,112710,113746,113460,114115
F1,119018,116370,105186,103820,102594,104301,106769,105485
G1,118687,114621,105061,104074,102818,103686,104882,104244
H1,117730,113492,103883,102770,102122,103020,105974,105210
A2,198324,187958,180235,180651,179645,178194,181765,180865
B2,205206,193891,182928,182914,180814,179675,181052,179322
C2,193587,187281,172125,175688,175824,177285,179767,179691
D2,197804,189722,170021,166345,163896,162970,167058,165562
E2,121258,116634,105230,104451,103296,105477,106870,106768
F2,131254,127662,115691,113304,113736,114253,116534,115744
G2,127560,124155,111780,110366,108769,110588,112696,111465
H2,126923,122853,110992,109032,108963,109643,113225,111970
A3,183866,174130,167501,170351,169500,169015,172291,171324
B3,175538,167492,156621,163033,160878,162068,163972,164579
C3,183606,178342,160422,168610,169671,172126,174337,172498
D3,188124,181734,163603,159175,156210,156374,158681,158143
E3,117858,114943,104133,103518,100845,102954,104365,104435
F3,113002,111465,100129,99169,97665,98006,101272,100433
G3,124040,121378,109596,108003,106780,107774,109798,110430
H3,114771,112226,101851,100323,100167,100388,102721,103087
A4,189457,183222,175452,172966,172630,172029,176804,176674
B4,193187,185249,173816,174594,172750,175109,178421,177144
C4,185054,177614,165128,166486,165981,167000,169291,167633
D4,207843,199219,179022,174686,172247,171156,173644,170620
E4,119600,116426,105736,103985,103024,103564,105063,105747
F4,120700,116969,106534,103758,103189,104762,107004,106813
G4,119254,115392,105752,102604,101912,104575,105888,105395
H4,122439,118548,108285,106304,106442,107207,110549,110062
A5,184475,181851,172962,168707,167428,168044,169916,168741
B5,180562,173302,153445,161016,162478,163989,167300,166438
C5,197731,188214,169508,174864,174970,176726,179040,177324
D5,187406,178091,159332,155448,153289,153350,155010,154335
E5,139494,136559,123890,120855,120269,121262,123550,122273
F5,113955,111119,100384,98178,97166,98258,99660,100426
G5,135867,133218,120604,118759,118395,119180,121440,121116
H5,129547,126279,112987,112631,111604,114004,115316,114972
A6,175794,169328,162445,165530,163648,164452,166975,166480
B6,182140,174384,164907,170289,169774,168458,171097,171408
C6,180060,171258,158898,168512,165783,165525,168308,168490
D6,197245,187891,169104,165162,163898,162439,165190,164178
E6,132874,128493,117228,114508,113572,114846,117434,116661
F6,137414,133338,120615,119602,118080,119242,120741,121229
G6,120934,116332,105800,103646,104654,105608,106727,106581
H6,129495,125837,113364,111365,112371,112382,114815,114880
A7,192316,184071,167120,173563,173920,173235,176011,176685
B7,191718,183129,170279,175750,175119,176174,179733,178842
C7,215019,203040,181815,192768,191801,192398,196194,196142
D7,204189,195504,177207,171284,169005,168839,170940,171196
E7,126533,122060,110100,109854,108623,110032,112324,112240
F7,144046,139334,125532,124078,123241,124561,125920,125884
G7,134411,129444,117311,115865,115384,115284,117978,118336
H7,136160,131765,113700,115254,116810,117304,118894,119085
A8,180603,175464,168340,164423,162410,162628,166278,165042
B8,189402,179378,175593,171903,169152,170322,172848,172779
C8,187394,178356,161487,167434,166798,168412,170716,169335
D8,208858,198738,177609,173189,168945,169734,173537,171579
E8,121883,118556,105622,104826,104400,104946,106820,107033
F8,139117,135537,121457,120736,119233,120486,122028,122355
G8,124285,118216,106811,104860,104442,105108,107192,107718
H8,110469,107218,97932,96657,96391,96375,99107,98752
A9,176396,171189,166009,160821,159286,165531,167067,167526
B9,189570,181486,165784,170939,169392,170636,172642,172846
C9,197735,189034,175484,177477,175639,176123,178551,177753
D9,191370,182289,163178,158705,155282,156765,160219,156746
E9,108305,103585,93324,92482,91756,92160,95043,94036
F9,119361,117541,102764,101828,102116,101554,103758,106770
G9,128539,124424,113831,112034,111070,112399,113349,113373
H9,110327,106478,97239,96202,95018,96739,98850,97547
A10,185459,210421,208762,209761,208066,208969,208964,208729
B10,188354,177164,165760,167702,167203,167621,171732,169436
C10,189842,180092,167079,169044,167042,169314,171404,171426
D10,193323,184306,165044,159826,156473,158590,161480,159935
E10,115525,109579,100073,98618,98804,99428,100202,100862
F10,112792,109022,98017,96084,95746,96272,97622,99176
G10,123604,119855,108733,106689,107266,107538,110026,114370
H10,113743,111105,100652,99196,98664,99846,102279,102183
A11,174204,170682,163458,160722,160183,160575,162212,162040
B11,155138,149321,146410,145540,143560,145679,146623,146154
C11,163412,157798,144082,148068,149166,149003,151577,151134
D11,161474,156782,140041,137054,135558,136734,137163,137048
E11,107947,103556,94142,92949,92952,93388,94883,95954
F11,114438,109380,98815,97359,96953,97457,100038,100516
G11,122027,117645,106462,105373,105720,105356,107591,108202
H11,109278,105724,95476,94854,95969,95944,98540,98100
A12,155896,165529,165718,176368,179310,190419,194928,193432
B12,170474,161365,160021,158299,155900,156931,159466,160182
C12,169178,161216,146149,153421,153565,155073,157408,155874
D12,206432,198124,177235,171998,168081,167480,169723,167418
E12,101284,97430,87109,87102,87003,88083,89613,88826
F12,108843,105492,95485,93810,94428,95658,96586,96490
G12,98921,95669,87774,85604,85460,87477,88756,90214
H12,108036,104218,93258,92621,92512,93356,95378,96193
