Well,Cycle,BLUE,GREEN,YELLOW,RED
A1,1,39434,15622,7532,3442
A2,1,38001,14858,7043,3187
A3,1,72581,28158,12714,4824
A4,1,81580,31424,14122,5406
A5,1,79431,30538,13576,5071
A6,1,89698,34512,15260,5597
A7,1,90975,35149,15663,5868
A8,1,78558,30784,13915,5264
A9,1,77980,30668,13792,5223
A10,1,89465,35232,15766,5840
A11,1,80794,31958,14214,5165
A12,1,91048,36023,15902,5605
B1,1,33483,13369,6643,3265
B2,1,35724,14376,7309,3671
B3,1,73085,28104,12517,4689
B4,1,82370,31846,14509,5795
B5,1,81706,31937,14581,5717
B6,1,81822,31804,14261,5369
B7,1,93072,36397,16467,6277
B8,1,89462,35064,15818,6060
B9,1,83517,33181,14991,5687
B10,1,95760,37739,16856,6330
B11,1,82045,32568,14519,5373
B12,1,107925,42646,19346,8169
C1,1,40161,15801,7741,3717
C2,1,35101,13729,6551,2953
C3,1,80464,31078,13964,5363
C4,1,88190,34075,15116,5444
C5,1,88736,34186,15314,5869
C6,1,93759,36219,16246,6165
C7,1,90516,34820,15346,5626
C8,1,83896,32981,14982,5752
C9,1,87913,34635,15648,5923
C10,1,81317,32047,14374,5321
C11,1,90465,35626,16062,6170
C12,1,102865,40974,18572,7039
D1,1,39749,15777,7822,3870
D2,1,40135,15936,7894,3787
D3,1,83265,32351,14921,6108
D4,1,85900,33289,15101,5909
D5,1,92691,35808,16176,6260
D6,1,94395,36958,16929,6766
D7,1,87802,34382,15687,6136
D8,1,86850,34024,15431,6001
D9,1,92158,36295,16447,6321
D10,1,90606,35454,15767,5828
D11,1,88232,34968,15874,6412
D12,1,104203,41541,18644,6854
E1,1,37712,14800,7126,3293
E2,1,41843,16616,8184,3877
E3,1,85768,33186,15014,5787
E4,1,89045,34382,15447,5968
E5,1,91946,35821,16266,6371
E6,1,91762,35794,16239,6341
E7,1,94944,36729,16477,6239
E8,1,97027,37543,16691,6223
E9,1,85929,34054,15286,5656
E10,1,90113,35500,15934,6069
E11,1,87333,34490,15519,5887
E12,1,105993,42030,18934,7137
F1,1,38619,15433,7696,3724
F2,1,37462,14790,7179,3316
F3,1,83125,32492,14846,5735
F4,1,79642,31136,14216,5614
F5,1,83995,32764,14813,5697
F6,1,92505,35864,16071,6075
F7,1,89647,34754,15518,5851
F8,1,93682,36440,16282,6108
F9,1,94755,36962,16345,5858
F10,1,92214,36259,16223,6160
F11,1,84834,33508,14936,5497
F12,1,107105,42397,18966,6981
G1,1,40907,16047,7644,3424
G2,1,41698,16476,7946,3598
G3,1,74469,29168,13355,5239
G4,1,85990,33629,15494,6346
G5,1,86461,33800,15331,5909
G6,1,81482,32144,14901,5977
G7,1,82265,32270,14548,5460
G8,1,86343,33532,15014,5725
G9,1,86905,34205,15320,5618
G10,1,90038,35438,15912,5918
G11,1,92358,36379,16196,5907
