User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 206,,,,,,,,,,
Test name: NASBA,Date: 27/04/2016,Time: 21:09:28,,,,,,,,,,
Used kinetic range(s): Range 1,,,,,,,,,,,,
Time resolved fluorescence (TRF),,,,,,,,,,,,
,,,,,,,,,,,,
Well Row,Well Col,Content,Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520)
,,Time,0 min ,5 min ,10 min ,15 min ,20 min ,25 min ,30 min ,35 min ,40 min ,45 min 
A,1,Sample X1,911,925,982,993,983,981,979,1024,969,946
B,1,Sample X13,899,873,891,922,928,885,929,902,879,847
C,1,Sample X25,843,828,842,865,877,847,875,902,891,891
D,1,Sample X37,557,523,544,533,623,563,597,592,573,538
E,1,Sample X49,577,541,558,591,582,601,593,598,568,577
F,1,Sample X61,594,544,582,563,594,613,572,584,601,585
G,1,Sample X73,536,498,539,578,534,567,593,582,570,538
H,1,Sample X85,509,482,528,477,534,543,518,480,544,488
A,2,Sample X2,832,949,860,930,945,907,925,919,916,910
B,2,Sample X14,833,848,858,857,926,892,894,879,903,868
C,2,Sample X26,942,909,921,913,937,949,991,917,979,944
D,2,Sample X38,557,562,556,581,606,585,598,575,581,578
E,2,Sample X50,561,540,550,571,582,563,617,569,609,542
F,2,Sample X62,527,548,569,577,565,622,565,558,591,614
G,2,Sample X74,580,564,587,582,574,585,598,557,606,586
H,2,Sample X86,534,513,494,556,506,539,533,503,572,549
A,3,Sample X3,880,941,913,949,888,892,905,940,911,897
B,3,Sample X15,844,797,809,828,909,871,876,854,892,821
C,3,Sample X27,822,825,837,864,904,859,869,819,845,833
D,3,Sample X39,520,534,542,545,549,569,574,514,556,528
E,3,Sample X51,553,513,561,561,552,575,575,564,596,558
F,3,Sample X63,542,513,550,564,559,545,560,508,587,544
G,3,Sample X75,596,579,571,582,560,602,627,579,591,543
H,3,Sample X87,532,548,521,540,537,533,539,520,568,540
A,4,Sample X4,892,875,862,888,904,899,910,903,895,886
B,4,Sample X16,878,840,870,817,868,874,877,892,881,838
C,4,Sample X28,873,843,879,903,925,890,903,895,866,919
D,4,Sample X40,554,514,596,537,556,575,594,539,570,550
E,4,Sample X52,557,498,583,571,551,612,556,560,583,564
F,4,Sample X64,550,552,549,542,555,573,579,534,577,569
G,4,Sample X76,535,509,515,557,544,556,576,532,562,528
H,4,Sample X88,508,494,540,533,535,547,564,507,546,538
A,5,Sample X5,886,891,849,907,918,932,903,909,862,900
B,5,Sample X17,849,831,852,838,842,856,875,845,882,831
C,5,Sample X29,810,812,833,871,877,850,895,859,865,875
D,5,Sample X41,546,511,513,527,558,539,578,548,560,544
E,5,Sample X53,568,535,593,576,578,576,595,555,557,566
F,5,Sample X65,509,450,479,519,475,541,505,505,501,531
G,5,Sample X77,530,498,562,554,561,582,591,557,568,545
H,5,Sample X89,527,516,510,516,534,549,529,483,576,543
A,6,Sample X6,657,642,675,675,698,671,674,703,693,658
B,6,Sample X18,844,845,857,853,904,864,846,866,860,827
C,6,Sample X30,671,646,651,688,690,735,704,709,710,685
D,6,Sample X42,568,521,563,567,608,590,566,616,598,612
E,6,Sample X54,574,543,561,561,591,549,558,570,593,557
F,6,Sample X66,584,540,530,594,554,590,578,584,584,575
G,6,Sample X78,499,468,522,487,500,506,538,525,528,533
H,6,Sample X90,518,506,518,568,554,520,523,514,563,516
A,7,Sample X7,621,601,635,641,668,640,638,643,588,599
B,7,Sample X19,661,633,681,671,709,709,726,694,686,694
C,7,Sample X31,767,767,770,792,849,809,831,838,816,808
D,7,Sample X43,521,522,546,524,557,574,538,542,544,543
E,7,Sample X55,515,535,508,550,555,561,579,508,549,594
F,7,Sample X67,521,519,526,511,560,544,574,519,588,517
G,7,Sample X79,494,514,535,519,528,515,555,542,569,491
H,7,Sample X91,531,507,487,558,515,552,543,502,568,500
A,8,Sample X8,651,651,671,659,663,664,661,657,643,701
B,8,Sample X20,837,828,846,852,860,866,824,860,840,857
C,8,Sample X32,710,693,724,752,756,721,767,760,758,782
D,8,Sample X44,531,521,566,558,609,571,588,563,552,594
E,8,Sample X56,577,543,543,588,545,573,536,546,547,543
F,8,Sample X68,523,526,537,521,532,528,570,530,536,541
G,8,Sample X80,536,523,495,514,554,567,543,540,556,508
H,8,Sample X92,553,514,544,540,550,536,503,513,571,510
A,9,Sample X9,645,665,690,705,686,665,647,656,691,667
B,9,Sample X21,645,634,639,641,686,670,626,640,656,668
C,9,Sample X33,618,655,621,674,680,662,670,632,609,641
D,9,Sample X45,554,488,526,555,545,542,540,529,540,579
E,9,Sample X57,528,478,554,542,578,545,575,542,581,538
F,9,Sample X69,546,523,550,547,527,558,558,560,586,552
G,9,Sample X81,560,571,592,599,587,591,608,599,616,596
H,9,Sample X93,535,474,503,526,521,534,512,519,530,503
A,10,Sample X10,581,595,621,598,637,637,616,607,594,615
B,10,Sample X22,579,531,577,612,616,606,604,630,590,598
C,10,Sample X34,558,537,573,541,572,615,581,590,541,565
D,10,Sample X46,474,486,479,468,511,510,501,479,495,505
E,10,Sample X58,525,500,537,534,539,527,519,514,530,525
F,10,Sample X70,491,486,486,465,493,474,521,508,520,486
G,10,Sample X82,562,551,569,552,563,526,593,540,569,532
H,10,Sample X94,492,464,478,496,477,505,476,469,497,452
A,11,Sample X11,681,617,607,644,659,678,626,657,637,622
B,11,Sample X23,592,599,601,588,598,603,605,582,647,627
C,11,Sample X35,597,608,616,586,653,642,667,645,614,620
D,11,Sample X47,482,454,498,516,523,555,519,501,506,474
E,11,Sample X59,498,491,501,479,499,504,521,487,500,494
F,11,Sample X71,476,456,505,492,487,555,511,482,531,505
