Well,Sample,0 min ,3 min 30 s,91 min 16 s,103 min 47 s,116 min 24 s,128 min 54 s,141 min 37 s,154 min 26 s,166 min 57 s,179 min 24 s,193 min 22 s,205 min 42 s,218 min 3 s
A1,Sample X1,12232,11910,177724,166228,156053,145757,194084,198813,202198,202695,203656,202210,204697
B1,Sample X13,9440,9028,197900,184816,196032,196296,196028,195441,197433,195970,198408,197800,199050
C1,Sample X25,4401,4228,209349,195377,210180,194209,195971,193840,195064,194838,197100,196618,197345
D1,Sample X37,211448,208358,143413,131299,114195,82956,81917,80596,81229,83404,82717,83546,84060
E1,Sample X49,4280,4110,149822,138048,120598,88325,86519,86000,86672,87774,87539,88124,88546
F1,Sample X61,4071,3904,145558,133252,117612,86422,84056,83348,83415,85505,84655,84780,85648
G1,Sample X73,3786,3634,136804,126041,110578,80634,79383,78693,79194,80425,79724,80471,81191
H1,Sample X85,3357,3264,118401,106708,94426,69346,67851,67156,67712,68879,68478,68926,70026
A2,Sample X2,30091,29691,175738,162540,150123,111851,125024,148078,168669,179190,184542,187736,189842
B2,Sample X14,11095,10382,180106,167321,201621,196200,194741,193437,195406,194822,195841,194685,197157
C2,Sample X26,4048,3834,202170,210963,211259,207667,207550,206299,206852,208636,208837,208256,209622
D2,Sample X38,58822,57154,144768,134582,117224,85177,84074,83473,83831,85551,84980,85384,86336
E2,Sample X50,4204,4060,147579,135578,118899,86611,85238,84298,85338,86716,86648,86644,87811
F2,Sample X62,3871,3739,138713,127708,111367,81248,80919,79844,80170,82368,80724,81382,82421
G2,Sample X74,4014,3896,144042,134483,117050,85501,84326,83970,84923,85544,85388,85430,86656
H2,Sample X86,3694,3554,129665,116734,101582,74585,73904,73300,73469,75031,74755,75501,75800
A3,Sample X3,70784,74147,177736,168435,147844,136074,188873,196255,198369,198744,201739,199466,201186
B3,Sample X15,8687,8254,180352,168956,198577,188493,187062,186562,189036,188223,189884,188960,191344
C3,Sample X27,3819,3633,187666,176349,176408,183565,184388,183594,185092,185669,185790,185356,186794
D3,Sample X39,11908,11411,136948,124788,109181,79270,78264,78150,78204,79843,79181,79338,80622
E3,Sample X51,3930,3787,141784,130556,113719,82448,80782,80528,81478,82888,82426,82810,83524
F3,Sample X63,3762,3614,133592,122708,106631,77847,76411,76223,77443,78368,77678,78479,78790
G3,Sample X75,4087,3923,145705,136473,117389,86484,85310,83703,85217,86274,86023,86268,87584
H3,Sample X87,3780,3629,129705,119493,104423,76014,74891,73995,75294,77331,76074,76756,77708
A4,Sample X4,103456,105710,184115,173712,153032,122344,158500,185470,198475,201029,203641,202996,204952
B4,Sample X16,9224,8607,192786,179709,190628,192562,194096,191887,193653,193264,195124,194156,195764
