Well,0 min ,12 min 49 s,25 min 56 s,38 min 33 s,51 min 4 s,65 min 29 s,79 min 22 s,91 min 49 s,105 min 31 s,107 min 23 s,119 min 6 s
A1,188235,189560,191695,158981,143237,160488,183477,197542,83683,209154,211634
B1,186751,189346,197854,184608,182063,195732,204068,206522,82940,208242,208163
C1,198780,198947,201490,158852,125189,123098,130711,142180,119246,154819,162948
D1,189306,185348,186883,142083,108520,98515,100890,103623,120418,108933,110714
E1,201056,198214,198103,150504,111429,99159,97749,97730,118430,100332,98615
F1,200252,196335,195965,147392,108855,95858,93733,93764,117193,95748,94714
G1,189441,186066,187770,140736,103703,91907,89712,89538,116804,91546,89790
H1,175985,174886,174596,135058,100018,86953,86425,85342,121505,87495,85758
A2,181313,181035,187816,155893,134934,144719,164184,181720,51974,196944,206726
B2,175228,178068,185590,199156,209501,209153,207818,208501,58978,209963,210347
C2,191339,191992,190970,151963,123855,124742,136613,148775,57964,164151,171897
D2,187474,188520,189739,148094,111118,100382,101247,104148,58984,108388,109708
E2,192532,192628,192539,149112,110296,94891,94932,94773,59411,96027,96057
F2,189805,183272,184823,139662,99907,87584,86274,85901,60957,88782,88902
G2,192736,187731,190609,145763,107219,94284,91385,91732,56616,93367,91713
H2,179134,176413,175849,135188,100850,87890,86927,86559,60347,87862,85391
A3,169255,170257,176975,148458,133122,145413,168534,185806,57339,195179,199836
B3,174616,175706,184299,193306,201598,197557,197544,198488,65588,199019,198818
C3,186727,187646,190464,153668,132359,140711,161532,178137,57228,192595,197184
D3,182058,184530,185888,144794,107859,96452,96072,97540,55981,99636,100537
E3,189497,187411,194161,150481,112331,98778,96922,96981,56023,98362,97845
F3,167473,165926,167038,127964,95260,85987,84684,84864,54366,85342,85589
G3,188080,189458,188491,145758,107259,93942,91958,92431,57466,92700,91459
H3,172161,171981,170586,130250,97674,87051,84429,84287,55724,86117,84361
A4,174104,174728,179772,165378,164148,179635,187558,190246,85823,192744,192599
B4,186874,192116,199896,204125,204189,199048,198395,198762,92798,201483,200139
C4,188457,189282,190959,151411,123266,120662,132027,143416,93640,157548,166424
D4,194185,195052,198081,155627,116684,104314,106392,109136,85291,112577,114305
E4,190618,190230,192744,148326,110828,96733,96207,97388,112294,97594,98035
F4,184566,179242,178662,137510,101422,88875,88661,88532,171210,88703,89672
G4,181274,177727,178610,136017,99827,86498,87069,86671,171315,87761,87201
H4,175113,173268,172218,131450,97669,85736,82647,82772,174564,84182,83039
A5,177411,180963,185847,173610,172642,188396,195351,198896,88533,199717,198528
B5,188893,192855,200661,209538,210066,198998,201161,200878,87689,202702,202462
C5,198197,201384,204217,164959,138828,140536,157472,172923,91184,188562,196079
D5,199291,200556,202509,158666,117759,103493,103236,104359,90357,105086,105529
E5,206230,203509,206627,158755,118678,102618,101042,101050,111089,101837,101727
F5,174773,171137,171512,132734,97440,85028,83740,83132,165449,84258,85210
G5,184893,183433,184217,141447,104651,91807,88265,89302,179526,89658,88561
H5,174108,169099,169827,130005,95059,84800,81960,82642,184468,84044,82411
A6,173930,177886,182745,177247,181894,183773,183277,184244,85347,184975,186160
B6,183664,188492,196273,205246,200323,187376,187026,188038,85935,187773,187154
C6,192318,194317,195168,159612,132519,134508,151828,166073,92282,177835,184031
D6,208533,207845,208876,163407,125024,116014,121823,129201,98721,136024,141656
E6,208459,201564,204556,156934,115394,100491,98020,98635,102389,98790,99096
F6,185249,181182,183792,143014,105792,92970,91054,90988,190888,91707,90738
G6,167473,167113,168284,130060,94916,83843,82219,81108,187694,83559,81741
H6,173600,175160,174970,135468,99470,87910,85326,84999,186945,87056,85064
A7,176698,176102,181155,182820,190878,185254,184305,185092,88024,186367,185353
B7,170554,174802,184855,200869,199041,187277,186050,186156,84379,186939,186515
