User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 208,,,,,,,,,,,,,,,,,,,,,,
Test name: NASBA,Date: 29/04/2016,Time: 18:36:31,,,,,,,,,,,,,,,,,,,,,,
Used kinetic range(s): Range 1,,,,,,,,,,,,,,,,,,,,,,,,
Time resolved fluorescence (TRF),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,Well Col,Content,Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520)
,,Time,0 min ,5 min ,10 min ,15 min ,20 min ,25 min ,30 min ,35 min ,40 min ,45 min ,50 min ,55 min ,60 min ,65 min ,70 min ,75 min ,80 min ,85 min ,90 min ,95 min ,100 min ,105 min 
A,1,Sample X1,639,600,620,618,638,693,776,782,793,759,759,769,757,784,686,710,747,749,789,766,722,781
B,1,Sample X13,596,584,632,659,702,863,840,857,858,865,818,810,836,818,836,812,814,827,821,829,805,817
C,1,Sample X25,624,612,611,624,598,672,741,757,748,746,706,773,735,703,713,723,762,702,747,726,718,734
D,1,Sample X37,598,647,690,644,642,666,661,692,638,677,687,713,661,708,695,677,727,737,733,754,705,776
E,1,Sample X49,586,602,596,573,643,692,666,681,650,682,677,698,686,702,735,693,715,747,732,776,744,782
F,1,Sample X61,677,675,655,632,652,667,688,649,653,631,668,676,643,637,673,655,654,641,648,662,660,646
G,1,Sample X73,651,634,589,615,623,620,616,616,598,638,625,629,615,598,623,586,620,582,629,622,618,609
H,1,Sample X85,544,616,635,675,605,614,591,626,661,657,708,695,662,641,705,693,757,734,771,778,779,754
A,2,Sample X2,588,629,613,588,605,703,724,725,750,753,715,718,749,746,682,703,698,722,745,740,738,732
B,2,Sample X14,595,605,609,660,660,830,844,795,830,813,802,838,837,812,827,782,826,835,832,798,765,811
C,2,Sample X26,608,587,619,616,573,680,724,742,810,733,745,771,754,747,708,744,723,718,727,695,709,738
D,2,Sample X38,597,583,615,662,635,665,745,763,847,817,872,899,841,847,830,879,857,864,826,860,832,894
E,2,Sample X50,588,607,589,595,632,647,658,705,727,709,747,795,761,813,769,805,855,815,832,857,800,856
F,2,Sample X62,609,560,667,619,656,668,672,656,638,650,640,664,653,637,619,640,615,605,625,641,615,657
G,2,Sample X74,619,590,608,560,576,588,581,638,628,624,670,655,620,586,632,591,619,601,656,616,651,639
H,2,Sample X86,580,582,566,567,540,559,567,544,567,568,572,548,555,518,542,531,552,527,546,536,542,531
A,3,Sample X3,575,605,574,587,586,688,683,695,722,718,718,714,701,700,662,675,676,708,707,708,701,647
B,3,Sample X15,545,583,578,599,627,809,801,764,810,785,778,769,776,772,778,782,772,784,785,780,779,759
C,3,Sample X27,565,557,592,596,572,612,691,702,694,721,726,709,724,705,677,667,704,703,667,684,694,668
D,3,Sample X39,585,571,612,565,559,598,624,660,743,765,837,825,782,801,787,782,789,795,817,812,777,804
E,3,Sample X51,605,606,607,602,660,638,646,650,663,642,637,672,608,635,628,637,662,604,596,649,635,663
F,3,Sample X63,611,608,611,592,590,585,641,614,667,640,685,689,685,639,665,700,701,666,699,697,741,733
G,3,Sample X75,651,593,592,575,617,625,605,547,632,637,667,645,627,595,654,650,630,606,622,603,623,593
H,3,Sample X87,557,573,575,567,545,559,563,605,595,605,656,633,600,597,646,637,656,662,674,690,666,698
A,4,Sample X4,573,614,607,573,585,667,684,691,716,713,722,754,705,692,683,688,691,681,710,721,707,696
B,4,Sample X16,584,601,613,644,714,837,846,794,839,783,827,828,811,845,790,771,842,791,828,794,803,834
C,4,Sample X28,625,537,606,581,577,627,709,700,704,704,700,702,740,678,699,664,719,642,675,692,679,684
D,4,Sample X40,626,593,611,566,590,626,767,784,839,858,846,829,835,843,795,811,853,841,840,817,792,842
E,4,Sample X52,586,551,658,631,644,653,659,630,675,687,671,724,684,740,713,775,726,713,769,787,786,815
F,4,Sample X64,573,570,610,618,563,617,608,513,603,556,617,587,590,537,546,564,591,540,556,556,581,579
G,4,Sample X76,593,607,568,553,560,590,586,563,555,564,599,575,570,540,587,554,553,552,565,585,559,581
H,4,Sample X88,542,560,523,504,569,624,656,690,737,695,729,696,685,670,692,682,684,667,669,691,693,665
A,5,Sample X5,576,599,612,626,591,698,754,745,769,711,731,740,755,741,697,694,739,698,727,747,701,707
B,5,Sample X17,632,610,673,712,723,858,897,844,898,862,853,882,856,840,829,836,824,827,814,807,839,876
C,5,Sample X29,622,611,661,647,640,705,763,736,799,788,737,780,754,748,760,722,757,761,744,716,711,735
D,5,Sample X41,609,592,582,606,664,672,720,761,830,829,822,826,830,847,818,829,824,845,808,829,786,857
E,5,Sample X53,627,651,627,609,628,621,752,691,715,696,751,752,716,735,729,718,741,727,749,761,790,784
F,5,Sample X65,583,567,579,551,578,660,636,649,668,612,654,660,617,648,636,623,620,604,607,638,645,637
G,5,Sample X77,600,616,638,590,650,663,708,591,697,672,687,690,648,659,653,653,620,652,682,650,681,684
H,5,Sample X89,572,522,557,576,601,594,575,599,628,648,689,677,634,620,661,670,676,678,669,658,626,657
A,6,Sample X6,568,615,573,570,578,678,727,692,720,722,675,684,716,701,670,676,716,674,720,704,705,679
B,6,Sample X18,609,619,611,626,645,738,781,755,717,726,723,764,743,722,707,736,748,706,744,735,702,718
C,6,Sample X30,586,595,592,618,589,642,734,695,742,727,709,744,739,708,676,694,703,685,671,708,680,697
D,6,Sample X42,621,620,604,678,616,713,785,823,847,840,845,920,858,833,817,854,845,844,830,883,809,836
E,6,Sample X54,596,611,587,598,566,623,730,691,726,712,761,801,752,825,787,805,827,817,782,839,823,834
F,6,Sample X66,618,621,630,619,662,699,657,653,678,658,690,663,660,661,663,623,662,641,620,684,646,681
