"well","minutes","input","normalised_fluorescence"
"B12",0,"spike 10^5",0
"C12",0,"spike 10^4",0
"D12",0,"spike 10^3",0
"E12",0,"spike 10^2",0
"F12",0,"spike 10",0
"G12",0,"no template",0
"B12",12.8,"spike 10^5",0.0711968675544948
"C12",12.8,"spike 10^4",0.0544237948444736
"D12",12.8,"spike 10^3",0.0384229785250496
"E12",12.8,"spike 10^2",0.0325960221013476
"F12",12.8,"spike 10",0.0370993108873808
"G12",12.8,"no template",0
"B12",25.9,"spike 10^5",0.209573329241775
"C12",25.9,"spike 10^4",0.129273279559767
"D12",25.9,"spike 10^3",0.0495362469418563
"E12",25.9,"spike 10^2",0.0349071008110742
"F12",25.9,"spike 10",0.0252813136852452
"G12",25.9,"no template",0
"B12",38.55,"spike 10^5",0.404393848721831
"C12",38.55,"spike 10^4",0.359539215806512
"D12",38.55,"spike 10^3",0.282208186678108
"E12",38.55,"spike 10^2",0.21647931631868
"F12",38.55,"spike 10",0.016215959283607
"G12",38.55,"no template",0
"B12",51.05,"spike 10^5",0.441303961786423
"C12",51.05,"spike 10^4",0.414325445747625
"D12",51.05,"spike 10^3",0.426098134929973
"E12",51.05,"spike 10^2",0.396382891118879
"F12",51.05,"spike 10",0.139825027241034
"G12",51.05,"no template",0
"B12",65.5,"spike 10^5",0.450505389760436
"C12",65.5,"spike 10^4",0.417421300044796
"D12",65.5,"spike 10^3",0.421928163131604
"E12",65.5,"spike 10^2",0.414722525389731
"F12",65.5,"spike 10",0.395279241270564
"G12",65.5,"no template",0
"B12",79.4,"spike 10^5",0.458945149637967
"C12",79.4,"spike 10^4",0.428451044244071
"D12",79.4,"spike 10^3",0.432027331492909
"E12",79.4,"spike 10^2",0.417923144799261
"F12",79.4,"spike 10",0.404277148758731
"G12",79.4,"no template",0
"B12",91.8,"spike 10^5",0.466465763403611
"C12",91.8,"spike 10^4",0.433907057313048
"D12",91.8,"spike 10^3",0.430158325414837
"E12",91.8,"spike 10^2",0.41090485995996
"F12",91.8,"spike 10",0.406008380477719
"G12",91.8,"no template",0
"B12",107.4,"spike 10^5",0.470566976709369
"C12",107.4,"spike 10^4",0.438191687591818
"D12",107.4,"spike 10^3",0.435231105803778
"E12",107.4,"spike 10^2",0.429283310952219
"F12",107.4,"spike 10",0.393697068142905
"G12",107.4,"no template",0
"B12",119.1,"spike 10^5",0.454665243621455
"C12",119.1,"spike 10^4",0.422840675507359
"D12",119.1,"spike 10^3",0.425129899605473
"E12",119.1,"spike 10^2",0.412087221119349
"F12",119.1,"spike 10",0.382962136918556
"G12",119.1,"no template",0
