"","t1","t2","t3","t4","t5","t6","t7","t8"
"A1",1.59477778633598,1.5419636190864,1.69247918891884,1.85352237647189,1.84926528060028,1.81088144907279,1.82059059940289,1.79866907720122
"B1",1.56863248521571,1.52429919228942,1.58006544258515,1.80600587832967,1.80473268719712,1.78482188161183,1.765808007349,1.80045774512444
"C1",1.65562658861588,1.63512183533564,1.64392282522083,1.87200768989038,2.00311669532593,1.9758551693106,1.95504478297481,1.96180328499442
"D1",1.60661377699042,1.56061223104595,1.54310564060831,1.75697358448713,1.88236673440675,1.87300508362613,1.83646558983388,1.8293553102281
"E1",1.72487098513441,1.70938539333469,1.68666395402065,1.66963047858476,1.65614741284977,1.65120197600835,1.61490469264334,1.62476439589183
"F1",1.02125001069775,0.995622072897577,1.0016530186664,0.988363495203061,0.995202829451305,0.992743147635779,0.99771300620072,0.992451052044467
"G1",1.0771949643551,1.02563972035566,1.04004543682078,1.01324472706435,1.02458183523527,1.01566254679138,1.01137755492613,1.01767511635958
"H1",1.02761731152704,1,0.991616228404795,0.982845629147642,0.997811474128498,0.979272974447838,0.981244737043558,0.987700503904297
"A2",1.66105248744084,1.60281341206815,1.71632504280894,1.89104756271143,1.89787204939816,1.87904607814041,1.86507693485417,1.86722506443051
"B2",1.59455527313495,1.55860992330143,1.65363748876795,1.86160045843577,1.87568391433484,1.8605975893464,1.84469493990661,1.84634765549871
"C2",1.62527921127628,1.58115285413697,1.57321601139311,1.80895428581992,1.8727528528998,1.84710826879075,1.81461953609431,1.84310689694965
"D2",1.605869213587,1.58403753478585,1.56913008833054,1.57179695731741,1.54156245114898,1.54059720639905,1.52474546428845,1.51448244028157
"E2",1.51701798077828,1.48758738885495,1.474908024346,1.45200288370889,1.4454920275129,1.43153379989086,1.41435734517339,1.42638573681579
"F2",1.06603507150376,1.08358786397882,1.07380092569045,1.08619701647041,1.09285602626231,1.10464993824974,1.07333690576437,1.07960533907759
"G2",1.05550848545534,1.06347994298514,1.06300968075547,1.06187958666839,1.05923675160231,1.05533589269815,1.04820868100743,1.04792860714698
"H2",1.08691707959982,1.10173589900224,1.10664937354831,1.0839787788602,1.12302641863373,1.10489885403004,1.10571844139937,1.10424279724584
"A3",1.38213218995781,1.45888481639856,1.69892172320838,1.74232397360297,1.73105557292481,1.70520712665026,1.68898798132129,1.67722237181213
"B3",1.34823315960187,1.34389635512116,1.55783869928623,1.62709577240882,1.59452673128029,1.58264482590256,1.56387315318074,1.55036158018233
"C3",1.5448920383065,1.51588271227856,1.66339453740908,1.77322217498198,1.76424495857433,1.74874824083559,1.73831623669907,1.72272762241797
"D3",1.4710005391666,1.459198737528,1.51430073071902,1.70804295986838,1.69825699546662,1.70174145309374,1.69118885401516,1.69050275031734
"E3",1.45942985271338,1.40882712278558,1.38327992811488,1.38469785755217,1.37347584805378,1.38670023838473,1.34715417591671,1.34187598569066
"F3",0.968659871455835,0.981902871105681,0.988233897902786,0.99425106752685,0.989282085352509,0.99392071075029,0.970460460843604,0.981709428010924
"G3",1.08701977800029,1.0643114097604,1.08182018547717,1.07386731242028,1.0684793653275,1.07280786573866,1.05663898032611,1.05588144785937
"H3",0.990543188956499,0.986611688047241,0.98482613634437,0.988945782575744,1.00016609348132,0.995720563315558,0.972479522314935,0.973939300688541
"A4",1.58655335609815,1.58618407656282,1.59330654595392,1.95494204854243,1.99336603095201,1.96131274353058,1.97410625430606,1.96805400623149
"B4",1.6648266536582,1.61038145659404,1.59994405167591,1.93906316431595,2.04319407534782,2.01119163642978,2.01094694939907,2.0061930222718
"C4",1.57627495785086,1.53414952826987,1.51599613447943,1.67769007523523,1.87990464280131,1.89023771457019,1.8740813748756,1.87410085779128
"D4",1.66425325425557,1.62920824000543,1.61387179356764,1.59063349169085,1.67109582616852,1.82405483806114,1.93687322973283,1.98782551832904
"E4",1.42709697296465,1.40814837439761,1.3796178559924,1.38052941937631,1.370622948257,1.35776856576642,1.35962259817806,1.36619609954995
"F4",1.0091743904422,1.01128419195004,1.00990963497957,1.00062850065623,1.00392762232296,1.0028146630542,1.00175112914338,1.00260606993115
