Well,0 min ,3 min 45 s,18 min 30 s,31 min 46 s,45 min 9 s,58 min 30 s,71 min 41 s,84 min 45 s,103 min 30 s
A1,182385,186345,181742,199655,200540,189276,189152,190259,187040
B1,180886,183290,179660,186394,195399,184718,186430,184534,187226
C1,188957,193455,192722,193927,202540,205023,206384,204310,204004
D1,185436,187728,183940,182034,190094,192664,195641,191918,190231
E1,204912,201546,201475,198969,180644,169510,172473,168764,168956
F1,117189,119330,117348,118161,106935,101861,103695,104265,103203
G1,116044,125867,120886,122690,109627,104868,106089,105693,105826
H1,113458,120074,117864,116977,106338,102128,102288,102544,102709
A2,189680,194089,188914,202468,204600,194251,196272,194908,194169
B2,188102,186319,183704,195073,201414,191980,194345,192778,191998
C2,191345,189909,186361,185586,195718,191680,192936,189635,191661
D2,191242,187641,186701,185104,170059,157782,160920,159342,157488
E2,175278,177259,175333,173989,157098,147949,149528,147806,148327
F2,126256,124563,127716,126672,117520,111856,115384,112168,112266
G2,123069,123333,125346,125399,114889,108415,110233,109542,108972
H2,121508,127003,129855,130547,117280,114944,115410,115552,114828
A3,161067,161498,171950,200415,188509,177177,178114,176506,174411
B3,160392,157537,158397,183772,176042,163203,165312,163431,161219
C3,168928,180516,178668,196224,191852,180574,182662,181661,179143
D3,173009,171882,171987,178636,184800,173820,177752,176736,175792
E3,167179,170530,166050,163180,149816,140578,144845,140783,139539
F3,114639,113185,115731,116578,107572,101255,103818,101417,102086
G3,123123,127015,125444,127618,116186,109361,112058,110423,109799
H3,111867,115742,116286,116176,106998,102369,104006,101628,101278
A4,188366,185384,186954,187956,211513,204025,204865,206302,204654
B4,190372,194530,189806,188739,209795,209125,210075,210152,208620
C4,183313,184183,180821,178836,181516,192412,197441,195849,194884
D4,199413,194463,192025,190382,172097,171040,190528,202411,206710
E4,169260,166752,165970,162748,149365,140286,141823,142086,142068
F4,119853,117919,119194,119135,108262,102754,104747,104687,104259
G4,120008,119239,118140,119188,107984,103445,106239,105814,104833
H4,123888,126822,127038,126001,114715,111090,111931,112304,112824
A5,179174,173752,175928,184367,200482,190222,193440,191434,190678
B5,176727,169902,171393,168737,188277,185801,188763,187782,186901
C5,177476,184468,186757,183391,210007,206185,209569,206656,205823
D5,157855,165416,171649,169843,154165,144578,146318,145676,145652
E5,210392,207958,209772,207943,189948,175786,177949,178107,175734
F5,115342,112943,114839,116030,105690,98249,100838,100346,100478
G5,132601,133791,132874,133986,123148,116808,120346,118062,117788
H5,128918,131979,132014,131737,120065,114519,116002,116776,115098
A6,110572,106748,109020,109826,100925,95202,96984,96726,95835
B6,110994,109855,108822,111222,101600,96192,98310,96984,97297
C6,106532,104247,105955,105620,96189,90502,92357,92420,91911
D6,118820,116847,118013,117820,108903,101463,103777,102802,103082
E6,170377,176303,173792,170597,155769,145571,148373,145978,145019
F6,126885,129202,127070,127826,116185,110561,113200,111867,112226
G6,117835,117772,120138,120099,109061,103922,105944,105240,104746
H6,127495,129143,130738,129196,118220,114493,114608,113930,114654
A7,112722,114128,114450,113429,104416,97265,100735,100482,99944
B7,103520,101476,106579,105624,96970,90721,93482,94893,94801
C7,130095,127534,129431,129230,117926,111683,113742,112561,112122
D7,124282,124547,124344,124986,114498,106857,109566,109146,108665
E7,119722,122762,120977,121046,109204,104989,106122,106272,105690
F7,135067,137559,136739,136286,125006,117391,120801,119574,119136
G7,126653,133141,130885,129340,119016,111979,114536,114373,113882
H7,120891,131549,129054,128498,117400,112636,115012,113079,113266
A8,107932,107739,118892,119602,109034,102108,105100,104504,104933
B8,116470,113096,116682,116366,105903,99842,102768,102236,101745
C8,116377,113552,117232,117981,108795,100980,103552,103108,103046
D8,126124,129938,129078,128408,117021,111146,114236,112889,114209
E8,114464,119034,118283,117936,108116,103136,106435,103982,103879
F8,133283,138005,138326,137356,125515,118811,121992,121179,120306
G8,119236,125398,126802,125191,114366,109928,111200,111059,109520
H8,107037,116826,117035,117862,108136,102352,105303,105657,106189
A9,115582,112660,117860,120371,108194,102722,104453,105195,105344
B9,114840,118575,119388,118275,108221,102027,104718,104683,103034
C9,119251,123203,122343,123408,113911,106680,107104,107438,106922
D9,109991,108733,110844,112029,102567,96712,99172,97455,98170
E9,107358,106199,107407,109308,98104,92632,94436,95084,93911
F9,113749,120772,120727,120656,110601,104082,107830,106079,105250
G9,124522,134019,133944,133312,121315,115599,117977,116994,116396
H9,108673,117427,117113,115857,105876,102639,104291,103908,103988
A10,108704,111901,113871,112178,102160,97014,99566,98049,98544
B10,109155,111214,108957,110579,100500,96035,97387,97742,96907
C10,110417,116099,115006,114888,105176,98712,101681,100110,100992
