"well","timepoint","grp","signal"
"A1",3.75,1,1.59477778633598
"A1",18.5,1,1.5419636190864
"A1",31.75,1,1.69247918891884
"A1",45.15,1,1.85352237647189
"A1",58.5,1,1.84926528060028
"A1",71.7,1,1.81088144907279
"A1",84.75,1,1.82059059940289
"A1",103.5,1,1.79866907720122
"A2",3.75,1,1.66105248744084
"A2",18.5,1,1.60281341206815
"A2",31.75,1,1.71632504280894
"A2",45.15,1,1.89104756271143
"A2",58.5,1,1.89787204939816
"A2",71.7,1,1.87904607814041
"A2",84.75,1,1.86507693485417
"A2",103.5,1,1.86722506443051
"A3",3.75,2,1.38213218995781
"A3",18.5,2,1.45888481639856
"A3",31.75,2,1.69892172320838
"A3",45.15,2,1.74232397360297
"A3",58.5,2,1.73105557292481
"A3",71.7,2,1.70520712665026
"A3",84.75,2,1.68898798132129
"A3",103.5,2,1.67722237181213
"A4",3.75,3,1.58655335609815
"A4",18.5,3,1.58618407656282
"A4",31.75,3,1.59330654595392
"A4",45.15,3,1.95494204854243
"A4",58.5,3,1.99336603095201
"A4",71.7,3,1.96131274353058
"A4",84.75,3,1.97410625430606
"A4",103.5,3,1.96805400623149
"A5",3.75,3,1.48700437324022
"A5",18.5,3,1.4926355799905
"A5",31.75,3,1.56288252547344
"A5",45.15,3,1.85298630238276
"A5",58.5,3,1.85850789432547
"A5",71.7,3,1.85193340545509
"A5",84.75,3,1.83183418816505
"A5",103.5,3,1.83365388314036
"B1",3.75,1,1.56863248521571
"B1",18.5,1,1.52429919228942
"B1",31.75,1,1.58006544258515
"B1",45.15,1,1.80600587832967
"B1",58.5,1,1.80473268719712
"B1",71.7,1,1.78482188161183
"B1",84.75,1,1.765808007349
"B1",103.5,1,1.80045774512444
"B2",3.75,1,1.59455527313495
"B2",18.5,1,1.55860992330143
"B2",31.75,1,1.65363748876795
"B2",45.15,1,1.86160045843577
"B2",58.5,1,1.87568391433484
"B2",71.7,1,1.8605975893464
"B2",84.75,1,1.84469493990661
"B2",103.5,1,1.84634765549871
"B3",3.75,2,1.34823315960187
"B3",18.5,2,1.34389635512116
"B3",31.75,2,1.55783869928623
"B3",45.15,2,1.62709577240882
"B3",58.5,2,1.59452673128029
"B3",71.7,2,1.58264482590256
"B3",84.75,2,1.56387315318074
"B3",103.5,2,1.55036158018233
"B4",3.75,3,1.6648266536582
"B4",18.5,3,1.61038145659404
"B4",31.75,3,1.59994405167591
"B4",45.15,3,1.93906316431595
"B4",58.5,3,2.04319407534782
"B4",71.7,3,2.01119163642978
"B4",84.75,3,2.01094694939907
"B4",103.5,3,2.0061930222718
"B5",3.75,3,1.45405530308865
"B5",18.5,3,1.4541590307473
"B5",31.75,3,1.43038672159775
"B5",45.15,3,1.74017967724643
"B5",58.5,3,1.81531381897765
"B5",71.7,3,1.8071572860521
"B5",84.75,3,1.7968881573911
"B5",103.5,3,1.7973323845059
"C1",3.75,1,1.65562658861588
"C1",18.5,1,1.63512183533564
"C1",31.75,1,1.64392282522083
"C1",45.15,1,1.87200768989038
"C1",58.5,1,2.00311669532593
"C1",71.7,1,1.9758551693106
"C1",84.75,1,1.95504478297481
"C1",103.5,1,1.96180328499442
"C2",3.75,1,1.62527921127628
"C2",18.5,1,1.58115285413697
"C2",31.75,1,1.57321601139311
"C2",45.15,1,1.80895428581992
"C2",58.5,1,1.8727528528998
"C2",71.7,1,1.84710826879075
"C2",84.75,1,1.81461953609431
"C2",103.5,1,1.84310689694965
"C3",3.75,2,1.5448920383065
"C3",18.5,2,1.51588271227856
"C3",31.75,2,1.66339453740908
"C3",45.15,2,1.77322217498198
"C3",58.5,2,1.76424495857433
"C3",71.7,2,1.74874824083559
"C3",84.75,2,1.73831623669907
"C3",103.5,2,1.72272762241797
"C4",3.75,3,1.57627495785086
"C4",18.5,3,1.53414952826987
"C4",31.75,3,1.51599613447943
"C4",45.15,3,1.67769007523523
"C4",58.5,3,1.87990464280131
"C4",71.7,3,1.89023771457019
"C4",84.75,3,1.8740813748756
"C4",103.5,3,1.87410085779128
"C5",3.75,3,1.57871404486208
"C5",18.5,3,1.58451265865744
"C5",31.75,3,1.55460895512266
"C5",45.15,3,1.94102260753831
"C5",58.5,3,2.01446967328435
"C5",71.7,3,2.00634735239773
"C5",84.75,3,1.97749368445227
"C5",103.5,3,1.979295687964
"D1",3.75,1,1.60661377699042
"D1",18.5,1,1.56061223104595
"D1",31.75,1,1.54310564060831
"D1",45.15,1,1.75697358448713
"D1",58.5,1,1.88236673440675
"D1",71.7,1,1.87300508362613
"D1",84.75,1,1.83646558983388
"D1",103.5,1,1.8293553102281
"D2",3.75,1,1.605869213587
"D2",18.5,1,1.58403753478585
"D2",31.75,1,1.56913008833054
"D2",45.15,1,1.57179695731741
"D2",58.5,1,1.54156245114898
"D2",71.7,1,1.54059720639905
"D2",84.75,1,1.52474546428845
"D2",103.5,1,1.51448244028157
"D3",3.75,2,1.4710005391666
"D3",18.5,2,1.459198737528
"D3",31.75,2,1.51430073071902
"D3",45.15,2,1.70804295986838
"D3",58.5,2,1.69825699546662
"D3",71.7,2,1.70174145309374
"D3",84.75,2,1.69118885401516
"D3",103.5,2,1.69050275031734
"D4",3.75,3,1.66425325425557
"D4",18.5,3,1.62920824000543
"D4",31.75,3,1.61387179356764
"D4",45.15,3,1.59063349169085
"D4",58.5,3,1.67109582616852
"D4",71.7,3,1.82405483806114
"D4",84.75,3,1.93687322973283
"D4",103.5,3,1.98782551832904
"D5",3.75,3,1.41566321771205
"D5",18.5,3,1.45633102558881
"D5",31.75,3,1.43976230439279
"D5",45.15,3,1.42489417158068
"D5",58.5,3,1.41255666718774
"D5",71.7,3,1.40080227470728
"D5",84.75,3,1.39397535022583
"D5",103.5,3,1.40066161480171
"E1",3.75,1,1.72487098513441
"E1",18.5,1,1.70938539333469
"E1",31.75,1,1.68666395402065
"E1",45.15,1,1.66963047858476
"E1",58.5,1,1.65614741284977
"E1",71.7,1,1.65120197600835
"E1",84.75,1,1.61490469264334
"E1",103.5,1,1.62476439589183
"E2",3.75,1,1.51701798077828
"E2",18.5,1,1.48758738885495
"E2",31.75,1,1.474908024346
"E2",45.15,1,1.45200288370889
"E2",58.5,1,1.4454920275129
"E2",71.7,1,1.43153379989086
"E2",84.75,1,1.41435734517339
"E2",103.5,1,1.42638573681579
"E3",3.75,2,1.45942985271338
"E3",18.5,2,1.40882712278558
"E3",31.75,2,1.38327992811488
"E3",45.15,2,1.38469785755217
"E3",58.5,2,1.37347584805378
"E3",71.7,2,1.38670023838473
"E3",84.75,2,1.34715417591671
"E3",103.5,2,1.34187598569066
"E4",3.75,3,1.42709697296465
"E4",18.5,3,1.40814837439761
"E4",31.75,3,1.3796178559924
"E4",45.15,3,1.38052941937631
"E4",58.5,3,1.370622948257
"E4",71.7,3,1.35776856576642
"E4",84.75,3,1.35962259817806
"E4",103.5,3,1.36619609954995
"E5",3.75,3,1.77974616378683
"E5",18.5,3,1.7797800855223
"E5",31.75,3,1.76273672075005
"E5",45.15,3,1.75562415660758
"E5",58.5,3,1.71746521807097
"E5",71.7,3,1.70362746881372
"E5",84.75,3,1.70430796907295
"E5",103.5,3,1.68994499365311
