"well","minutes","input","normalised_fluorescence"
"A4",3.75,"spike 10^4",0
"B4",3.75,"spike 10^3",0
"C4",3.75,"spike 10^2",0
"D4",3.75,"spike 10",0
"E4",3.75,"no template",0
"A4",18.5,"spike 10^4",0.0185793190317078
"B4",18.5,"spike 10^3",-0.0354965984971267
"C4",18.5,"spike 10^2",-0.0231768310139593
"D4",18.5,"spike 10",-0.0160964156830998
"E4",18.5,"no template",0
"A4",31.75,"spike 10^4",0.0542323068280148
"B4",31.75,"spike 10^3",-0.0174034850100544
"C4",31.75,"spike 10^2",-0.0127997063991969
"D4",31.75,"spike 10",-0.00290234371568543
"E4",31.75,"no template",0
"A4",45.15,"spike 10^4",0.414956246032628
"B4",45.15,"spike 10^3",0.320804064246089
"C4",45.15,"spike 10^2",0.147982670972701
"D4",45.15,"spike 10",-0.0270522089763729
"E4",45.15,"no template",0
"A4",58.5,"spike 10^4",0.463286699561514
"B4",58.5,"spike 10^3",0.434841446397267
"C4",58.5,"spike 10^2",0.360103709658099
"D4",58.5,"spike 10",0.0633165966206022
"E4",58.5,"no template",0
"A4",71.7,"spike 10^4",0.444087794630662
"B4",71.7,"spike 10^3",0.415693389969804
"C4",71.7,"spike 10^2",0.383291163917549
"D4",71.7,"spike 10",0.229129991003797
"E4",71.7,"no template",0
"A4",84.75,"spike 10^4",0.455027272994496
"B4",84.75,"spike 10^3",0.41359467052745
"C4",84.75,"spike 10^2",0.365280791811324
"D4",84.75,"spike 10",0.340094350263854
"E4",84.75,"no template",0
"A4",103.5,"spike 10^4",0.442401523548041
"B4",103.5,"spike 10^3",0.402267242028296
"C4",103.5,"spike 10^2",0.358726773355117
"D4",103.5,"spike 10",0.384473137488171
"E4",103.5,"no template",0
