"well","minutes","input","normalised_fluorescence","conc"
"A3",0,"spike 10^6",0,"1:50"
"A6",0,"spike 10^6",0,"1:60"
"A9",0,"spike 10^6",0,"1:70"
"A12",0,"spike 10^6",0,"1:80"
"B3",0,"spike 10^5",0,"1:50"
"B6",0,"spike 10^5",0,"1:60"
"B9",0,"spike 10^5",0,"1:70"
"B12",0,"spike 10^5",0,"1:80"
"C3",0,"spike 10^4",0,"1:50"
"C6",0,"spike 10^4",0,"1:60"
"C9",0,"spike 10^4",0,"1:70"
"C12",0,"spike 10^4",0,"1:80"
"D3",0,"spike 10^3",0,"1:50"
"D6",0,"spike 10^3",0,"1:60"
"D9",0,"spike 10^3",0,"1:70"
"D12",0,"spike 10^3",0,"1:80"
"E3",0,"spike 10^2",0,"1:50"
"E6",0,"spike 10^2",0,"1:60"
"E9",0,"spike 10^2",0,"1:70"
"E12",0,"spike 10^2",0,"1:80"
"F3",0,"spike 10",0,"1:50"
"F6",0,"spike 10",0,"1:60"
"F9",0,"spike 10",0,"1:70"
"F12",0,"spike 10",0,"1:80"
"G3",0,"no template",0,"1:50"
"G6",0,"no template",0,"1:60"
"G9",0,"no template",0,"1:70"
"G12",0,"no template",0,"1:80"
"A3",12.38,"spike 10^6",-0.0461024727145358,"1:50"
"A6",12.38,"spike 10^6",0.00532254587900316,"1:60"
"A9",12.38,"spike 10^6",-0.0121354880766436,"1:70"
"A12",12.38,"spike 10^6",0.0385707461740936,"1:80"
"B3",12.38,"spike 10^5",-0.0457102206263857,"1:50"
"B6",12.38,"spike 10^5",-0.00597347934338166,"1:60"
"B9",12.38,"spike 10^5",-0.0271947703559656,"1:70"
"B12",12.38,"spike 10^5",-0.0587194404681415,"1:80"
"C3",12.38,"spike 10^4",-0.0546616587161606,"1:50"
"C6",12.38,"spike 10^4",-0.0121804923337827,"1:60"
"C9",12.38,"spike 10^4",-0.0308272242003793,"1:70"
"C12",12.38,"spike 10^4",-0.0309831430760685,"1:80"
"D3",12.38,"spike 10^3",-0.0316924523810527,"1:50"
"D6",12.38,"spike 10^3",0.00120300970730103,"1:60"
"D9",12.38,"spike 10^3",-0.0100450064785167,"1:70"
"D12",12.38,"spike 10^3",-0.0782842150265672,"1:80"
"E3",12.38,"spike 10^2",-0.0634801317424913,"1:50"
"E6",12.38,"spike 10^2",-0.00190614755901586,"1:60"
"E9",12.38,"spike 10^2",-0.0163852189446974,"1:70"
"E12",12.38,"spike 10^2",-0.0958070560197288,"1:80"
"F3",12.38,"spike 10",-0.0667347935896929,"1:50"
"F6",12.38,"spike 10",-0.0113034628064115,"1:60"
"F9",12.38,"spike 10",-0.0103903625867781,"1:70"
"F12",12.38,"spike 10",-0.0763295206947365,"1:80"
"G3",12.38,"no template",0,"1:50"
"G6",12.38,"no template",0,"1:60"
"G9",12.38,"no template",0,"1:70"
"G12",12.38,"no template",0,"1:80"
"A3",26.2,"spike 10^6",-0.0500340340108889,"1:50"
"A6",26.2,"spike 10^6",0.00787927439821279,"1:60"
"A9",26.2,"spike 10^6",-0.00281385849471194,"1:70"
"A12",26.2,"spike 10^6",0.0268322016498497,"1:80"
"B3",26.2,"spike 10^5",-0.0706450388602027,"1:50"
"B6",26.2,"spike 10^5",-0.00620406092673953,"1:60"
"B9",26.2,"spike 10^5",-0.0383026071777801,"1:70"
"B12",26.2,"spike 10^5",-0.0968723930612763,"1:80"
"C3",26.2,"spike 10^4",-0.0453261928993773,"1:50"
"C6",26.2,"spike 10^4",-0.0230248988136947,"1:60"
"C9",26.2,"spike 10^4",-0.0369015365599243,"1:70"
"C12",26.2,"spike 10^4",-0.0521781513039981,"1:80"
"D3",26.2,"spike 10^3",-0.0565152244482807,"1:50"
"D6",26.2,"spike 10^3",0.00150636713168928,"1:60"
"D9",26.2,"spike 10^3",-0.0152473547658869,"1:70"
"D12",26.2,"spike 10^3",-0.0745163340951118,"1:80"
"E3",26.2,"spike 10^2",-0.0528183261573156,"1:50"
"E6",26.2,"spike 10^2",-0.0220804676260185,"1:60"
"E9",26.2,"spike 10^2",-0.0271232132600281,"1:70"
"E12",26.2,"spike 10^2",-0.120876374655852,"1:80"
"F3",26.2,"spike 10",-0.0780656748987691,"1:50"
"F6",26.2,"spike 10",-0.00804739870888649,"1:60"
"F9",26.2,"spike 10",0.00272095212767254,"1:70"
"F12",26.2,"spike 10",-0.10352547793288,"1:80"
"G3",26.2,"no template",0,"1:50"
"G6",26.2,"no template",0,"1:60"
"G9",26.2,"no template",0,"1:70"
"G12",26.2,"no template",0,"1:80"
"A3",39.98,"spike 10^6",-0.052164458028356,"1:50"
"A6",39.98,"spike 10^6",-0.0103726848541361,"1:60"
"A9",39.98,"spike 10^6",0.00372101637506939,"1:70"
"A12",39.98,"spike 10^6",0.0146978783251479,"1:80"
"B3",39.98,"spike 10^5",-0.0547581753831556,"1:50"
"B6",39.98,"spike 10^5",0.0096838873109566,"1:60"
"B9",39.98,"spike 10^5",-0.0435218051839108,"1:70"
"B12",39.98,"spike 10^5",-0.0948717329669178,"1:80"
"C3",39.98,"spike 10^4",-0.0307002130374361,"1:50"
"C6",39.98,"spike 10^4",-0.0245595456887029,"1:60"
"C9",39.98,"spike 10^4",-0.0252912740961975,"1:70"
"C12",39.98,"spike 10^4",-0.072198850468661,"1:80"
"D3",39.98,"spike 10^3",-0.0429605586376636,"1:50"
"D6",39.98,"spike 10^3",0.00687233005305199,"1:60"
"D9",39.98,"spike 10^3",-0.0173497263684257,"1:70"
"D12",39.98,"spike 10^3",-0.0924671811389663,"1:80"
