Well,0 min ,10 min 21 s,21 min 49 s,35 min 33 s,47 min 7 s,57 min 48 s,70 min 46 s,93 min 12 s,111 min 3 s,123 min 35 s
A1,168941,171703,179481,181820,182217,186231,184692,188287,194805,164224
B1,176130,173744,177507,178316,176156,178607,176776,177837,180972,170190
C1,207034,205944,210065,210513,211151,213687,209033,210999,213598,192634
D1,206068,204356,205800,207596,207284,209370,206816,210987,210081,205416
E1,143150,143020,144759,145132,147205,148811,148049,150866,155489,128697
F1,134905,136301,138412,140241,141238,143970,142924,145532,148981,123574
G1,133613,134260,135588,137555,137342,139060,138958,140778,144966,120769
H1,126978,127056,129390,131336,131438,133270,132794,136199,140498,119050
A2,141095,140849,143862,145746,148002,149495,149357,150080,154939,130200
B2,135677,137018,140046,141995,143501,144185,142936,145846,150929,124984
C2,132694,133408,138236,139662,140721,141822,141530,142831,147662,122749
D2,145614,147700,152489,152365,154124,148197,153930,157231,161153,134406
E2,136810,138090,140164,142678,141920,145297,143431,146680,151891,125956
F2,144176,139276,142096,146567,145108,147926,146409,148609,153804,133143
G2,139533,140726,143021,143887,146189,142469,147282,150406,154990,128505
H2,135935,138249,141480,142074,143422,146551,144454,148630,150255,126297
A3,129708,129184,132508,135672,135720,136203,136909,138249,142756,118638
B3,131888,132196,135684,138256,137881,140408,139071,141716,145212,121194
C3,140254,141642,145391,147353,147271,149476,148983,151068,155918,129428
D3,146256,145004,148441,149230,150004,152257,151772,152240,157063,132351
E3,137750,139018,140788,142998,143300,144862,142980,147012,150186,126229
F3,129156,129733,133306,135086,135227,136657,137358,138095,142404,120602
G3,140110,141556,141966,145346,145317,146860,146018,148916,153345,128477
H3,122071,122236,125619,126874,126328,127724,127020,128929,133553,110487
A4,132663,132406,136005,138248,139068,140068,139398,141081,144908,124661
B4,138323,139420,141710,143379,144998,145306,144948,146372,151118,125709
C4,133277,136238,139764,140867,141473,142378,142003,142992,145782,122716
D4,156656,156652,160740,163170,164241,164556,163813,165863,172154,142620
E4,136142,136857,140213,142521,142040,144544,142960,145145,149705,125308
F4,139124,139418,141560,142622,142922,145912,145335,146874,151318,127832
