Well,0 min ,12 min 50 s,26 min 49 s,42 min 56 s,62 min 50 s,76 min 18 s,90 min 56 s,103 min 42 s,116 min 18 s,120 min 57 s
A1,190945,198235,196782,211055,204121,199738,198965,199937,201672,200204
B1,196001,202875,194301,209800,203314,201242,199602,201065,201010,202888
C1,202939,207184,182204,206720,209558,207784,207505,208920,209374,208452
D1,194760,196451,167404,161384,155246,153446,152795,153878,154865,153526
E1,128542,131326,112846,110862,106331,107514,106302,108157,107653,108603
F1,117525,116931,101712,100019,97296,97278,95942,97194,97979,98351
G1,120953,120299,105868,105820,103181,102028,100879,101450,104092,102897
H1,113171,116779,102404,100960,97998,96883,96224,97637,98888,99489
A2,208992,211890,211394,217342,209720,206548,206544,206397,210308,209116
B2,204203,205802,191530,216946,211576,206103,206088,207905,207669,207458
C2,197120,200840,170947,163131,155170,154508,155078,156072,156104,155478
D2,192971,199699,172744,166236,158350,158971,155921,157892,158243,157512
E2,119516,122702,106090,104875,100104,100678,99358,101411,101911,103180
F2,129102,132360,113124,112626,109090,106976,107465,109319,109097,108622
G2,128779,129142,111869,114005,108389,106604,105304,108094,107784,107862
H2,127600,126632,109662,110807,106585,104258,104019,105357,105787,107980
A3,181806,188192,184055,199981,193016,189866,191290,191183,192183,191969
B3,179075,186683,176800,199039,192991,192824,191160,191877,194169,193110
C3,179763,185688,159939,152388,146170,145596,145515,147330,147037,145487
D3,183140,188222,161127,156949,149255,149305,147888,148738,148984,149254
E3,121600,125314,107982,107288,103122,102045,101443,103409,103147,103853
F3,116154,118684,101494,100978,97266,95608,95404,97273,97480,98386
G3,124800,127729,109848,108547,104057,103536,102843,105812,105553,106160
H3,113412,117358,104159,102932,99599,98650,97786,100464,100424,99606
A4,197591,201690,199222,207655,201262,201394,203200,204544,205548,203324
B4,203929,208494,195300,213698,206608,206112,206225,207658,208956,207660
C4,186343,192390,170076,190188,195835,194761,193682,194689,197463,196355
D4,199636,205148,178054,171246,164608,164505,163228,162911,164487,161265
E4,119429,122900,105670,104217,99682,99948,99734,100550,101026,101037
F4,120670,124227,107342,106526,101766,101803,101311,102808,103383,103180
G4,116479,120280,104653,103079,100769,98779,98627,99360,100640,100907
H4,121533,124679,107797,106492,103012,102476,102262,103550,104178,105305
A5,191394,190859,191249,202114,193098,191489,192840,192673,195240,195678
B5,185253,187148,161985,171398,191839,191864,190904,191852,192373,193437
C5,198956,206706,179876,170724,166877,166982,168219,170960,173068,173089
D5,183432,185840,158750,149929,144970,147136,147056,147465,148448,145369
E5,141224,141825,123190,121240,118258,116422,116090,116975,117642,118534
F5,110293,114775,99783,100262,96288,94468,93887,95767,96605,96029
G5,133961,137506,119883,119602,115069,113458,113316,114234,115876,115896
H5,127726,131580,113289,112343,109222,108518,108000,109209,111224,110672
A6,174287,179464,171789,191978,185648,185422,186091,184114,185382,185572
B6,178204,183666,172380,196158,191311,190414,187859,190289,191382,192444
C6,169848,173396,152244,144608,141077,141320,140142,141091,140871,139329
D6,191902,191237,164444,158265,153072,153212,152206,152610,153038,151734
E6,130811,134475,116808,114125,110042,109121,109276,110792,110280,111168
